,name,percent,category,produce,supply,img_url
91,찾을수록 생강,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%89%E1%85%A2%E1%86%BC%E1%84%80%E1%85%A1%E1%86%BC.png
92,찾을수록 사과,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%89%E1%85%A1%E1%84%80%E1%85%AA_kFHtPV0.png
93,찾을수록 오렌지,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A9%E1%84%85%E1%85%A6%E1%86%AB%E1%84%8C%E1%85%B5_baViwpT.png
94,술샘 16,16.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%AE%E1%86%AF%E1%84%89%E1%85%A2%E1%86%B7_16.png
95,미르 25,25.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%84%85%E1%85%B3_25.png
96,미르 40,40.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%84%85%E1%85%B3_40.png
97,미르 54,54.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%84%85%E1%85%B3_54.png
98,로아 화이트 19,19.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A1_%E1%84%92%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3_19.png
99,로아 옐로우 19,19.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A1_%E1%84%8B%E1%85%A8%E1%86%AF%E1%84%85%E1%85%A9%E1%84%8B%E1%85%AE_19.png
100,한주 25,25.0%,전통 소주,한주양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%AE25_35.png
101,한주 35,35.0%,전통 소주,한주양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%AE25_35_sKTuSq5.png
102,만월 24,24.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%AF%E1%86%AF_24.png
103,만월 40,40.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%AF%E1%86%AF_40.png
104,화주,25.0%,전통 소주,내국양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE.png
105,산들벗 21,21.0%,전통 소주,농업회사법인 산들벗(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A1%E1%86%AB%E1%84%83%E1%85%B3%E1%86%AF%E1%84%87%E1%85%A5%E1%86%BA_21.png
106,서울의 밤,25.0%,전통 소주,더한주류,더한주류,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A5%E1%84%8B%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B4_%E1%84%87%E1%85%A1%E1%86%B7.png
107,예천주 럼 42,42.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_42.png
108,예천주 럼 36.6,37.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_36.6.png
109,예천주 럼 22,22.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_22.png
110,예천주 럼 16.8,17.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_16.8.png
111,안동 국화주 42,42.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_42.png
112,안동 국화주 32,32.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_32.png
113,안동 국화주 22,22.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_22.png
114,회곡 안동소주 42,42.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AC%E1%84%80%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_42.png
115,회곡 안동소주 32,32.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AC%E1%84%80%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_32.png
116,회곡 안동소주 22,22.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AC%E1%84%80%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_22.png
117,죽력고,25.0%,전통 소주,추성고을,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%AE%E1%86%A8%E1%84%85%E1%85%A7%E1%86%A8%E1%84%80%E1%85%A9.png
118,겨울 소주 25,25.0%,전통 소주,농업회사법인 아리랑주조(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A7%E1%84%8B%E1%85%AE%E1%86%AF%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_25.png
119,안동소주 일품 40,40.0%,전통 소주 증류식,안동소주일품(주),한국술유통,https://cdn.veluga.kr/files/supplier/temporary/drinks/69.%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B2%E1%84%90%E1%85%A9%E1%86%BC_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%91%E1%85%AE%E1%86%B7_40.png
120,필 25,25.0%,전통 소주 증류식,술아원,한국술유통,https://cdn.veluga.kr/files/supplier/temporary/drinks/65.%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B2%E1%84%90%E1%85%A9%E1%86%BC_%E1%84%91%E1%85%B5%E1%86%AF_25.png
121,여주명주 려40,40.0%,전통 소주 증류식,국순당 여주명주,한국술유통,https://cdn.veluga.kr/files/supplier/temporary/drinks/12.%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B2%E1%84%90%E1%85%A9%E1%86%BC_%E1%84%8B%E1%85%A7%E1%84%8C%E1%85%AE%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%AE_%E1%84%85%E1%85%A740.png
122,여주명주 려25,25.0%,전통 소주 증류식,국순당 여주명주,한국술유통,https://cdn.veluga.kr/files/supplier/temporary/drinks/11.%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B2%E1%84%90%E1%85%A9%E1%86%BC_%E1%84%8B%E1%85%A7%E1%84%8C%E1%85%AE%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%AE_%E1%84%85%E1%85%A725.png
123,원 소주,22.0%,전통 소주 증류식,원스피리츠 주식회사 농업회사법인,원스피리츠 주식회사,https://cdn.veluga.kr/files/supplier/undefined/drinks/%E1%84%8B%E1%85%AF%E1%86%AB%20%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE(won%20soju)%20-%20%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%84%85%E1%85%B5%E1%84%8E%E1%85%B3(won%20spirits).png
